,Division,Subdivision,E-Record,Folder,Author(s),Title,Abstract,Year
0,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2014-0003,"Tessen, Alice"," Compounding British Interests in Zanzibar: Accounting for Continuities between Sultanate
                                 and Protectorate","In the first decades of colonial rule, British imperial administrators abolished slavery
 in Zanzibar, but their attempts to persuade Arab landowners to embrace wage labor
 in the place of slave labor fell on deaf ears. The once-powerful Arab clove planters
 had lost much of their political influence over the course of the 19th century, and
 many were heavily in debt to Indian moneylenders. The development of this situation
 is vital to understanding how colonial policies were implemented and how Zanzibaris
 navigated the changes which occurred in the early colonial period. This thesis analyzes
 the current state of scholarship on Zanzibar's early colonial history, and argues
 that there has been a tendency for studies to rely too heavily on casting 1890 as
 a turning point, which has the effect of downplaying continuities between pre-colonial
 and early colonial processes of economic, political, and social change. I advocate
 for a rethinking of temporal boundaries in future research on this subject, and I
 examine two processes, the slave trade and the British exploitation of Indian merchants,
 which demonstrate the theoretical benefits that can be derived from crossing the imagined
 border between the pre-colonial and colonial eras.",2014
1,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2016-0004,"Hennig, Clare Elizabeth", The 'Red Line' Of Journalism: Shifting Visions Of The Media In The UAE,"This project focuses on the gap between the vision of journalism in the UAE and the
 position of the press in practice. The first two chapters piece together a history
 of journalism in the country alongside a theoretical discussion of the role and responsibilities
 of the press in society. This is followed by an examination of the UAE's canon of
 media law and a news analysis of national newspapers. Despite a push to foster journalism
 in the country, the legal framework has not yet caught up with the purported vision
 of the press. This dichotomy of informal promises on the one hand and the formal legal
 canon on the other is one of the biggest challenges the press currently faces in the
 UAE. This creates uncertainty in the newsroom, ultimately leading to an inclination
 towards self-censorship when reporting sensitive issues because of a fear of crossing
 the 'red line' of journalism.",2016
2,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2016-0005,"Leathley, Emma"," War of Words: How UAE Think Tanks Use War On Terrorism Discourse To Produce Knowledge
                                 And Promote Policy","This project uses discourse analysis of the terrorism literature of four UAE think
 tanks--Al Mesbar Center for Studies and Research, the Emirates Center for Strategic
 Studies and Research, TRENDS Research & Advisory, and Hedayah--to examine how think
 tanks in the UAE use the discourse of the war on terrorism in their policy research.
 It found that UAE think tanks mimic and adapt various forms and stages of the American
 discourse on the war on terrorism.",2016
3,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2016-0010,"Plottel, Louis"," ""The Lighter Our Task, The Heavier Our Burden"" An Ethnography Of Political Dissidence
                                 Among Punks And Anarchists In Indonesia","Punk and anarchism, as lived practices that espouse anti-authoritarianism and prefigurative
 politics as their guiding principles, share a close affinity. Yet, the political value
 of punk has tended to be overlooked in favor of the punk ""identity."" This paper considers
 the overlapping politics of anarchists and punks in Yogyakarta, Indonesia, through
 ethnographic description of the everyday practice of political dissidence. I approach
 punk from an anarchist point of view, analysing it as an expression of prefigurative
 politics. Drawing upon fieldwork with members of a newly formed anarchist website,
 anarkis.org, and a punk squat in the north of the city, I show how political dissidents
 in Indonesia are fostering connections to global punk and anarchist movements through
 their everyday lives. I contend that punks play an important role in the embodiment
 of anarchism as a political way of being, while revealing the contours and complexities
 of radical political movements in Indonesia.",2016
4,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2018-0007,"Levinson, Melissa", Constructing an Enemy: Representations of the Middle East and Islam in U,"My project investigates the dominant portrayals of Arabs and Muslims in history textbooks
 in the United States. Specifically, my study concludes that world history textbooks
 perpetuate the notion of a ""rise and fall"" of the Middle East and the Islamic faith
 and present Arabs and Muslims as antithetical to American values. My research further
 seeks to determine why these representations came about. In other words, what political,
 economic, and social forces have influenced the negative portrayals we see in American
 textbooks? I have found that these representations are in part due to a rise of conservative
 voices in educational curricular development since the 1980s that has created an education
 system that narrowly defines the American nation by its white, Christian roots and
 seeks to preserve the notion of American exceptionalism.",2018
5,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2019-0002,"Burlin, Carl Alexander"," ""A New Paradigm"" for Syrian Refugees?: Development, Displacement Management and (Dis-)Empowerment
                                 in Jordan","This paper examines the extent to which development planning can provide solutions
 to protracted displacement crises by looking at the case of the ""Jordan Compact,""
 a multi-stakeholder policy agreement that promised to turn the Syrian ""refugee crisis""
 in Jordan into a ""development opportunity."" Drawing on fieldwork conducted in Jordan
 over the summer of 2018, I argue that the Jordan Compact failed to reach target outcomes
 due to a number of structural implementation challenges, including policy decontextualization
 and a competitive development architecture. In terms of the empowerment of Syrian
 refugees, however, the failure of the Jordan Compact was not so much a question of
 flawed implementation as it was of the ""anti-politics"" of development-based refugee
 policy. Syrians in Jordan do not just suffer from ""underdevelopment,"" but also from
 a weak protection regime that circumvents the question of durable solutions and facilitates
 exploitation, discrimination, and abuse. In this way, a critique of the Jordan Compact
 should first and foremost highlight the political failure of the compact to strengthen
 refugee protection and offer a durable, long-term solution to the refugee crisis.",2019
6,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2019-0027,"Mikhalkovich, Alena", Perceptions and Practices of Emirati visitors at Louvre Abu Dhabi,"This research studies Louvre Abu Dhabi and the ""Roads of Arabia"" exhibition, its role
 in nation-building and UAE branding, and its reception by the local population. Firstly,
 I examine the museum's reconciliation of local and universal heritage, the UAE nation-building
 and branding. Secondly, I study Emiratis' reception of such big Western-style museum
 projects. I argue that Louvre Abu Dhabi brand becomes regionalized and appropriated
 for the UAE nation-branding and regional diplomacy. At the same time, I demonstrate
 that Emiratis, despite appreciation of the universal narrative, view the museum primarily
 as a branding project and a tourist-oriented establishment, disapproving of its emphasis
 on the Western culture and insufficient reach out to the local population. Hence,
 Emiratis desire bigger representation of the local heritage at Louvre, seeing it as
 worthy of being part of the universal narrative. In addition, I argue that Louvre
 Abu Dhabi, apart from mitigating the nation-building and branding contradictions,
 gives a way for a young educated upper- and middle-class Emiratis to practice and
 express their elitist cultural identity in contradistinction to the older, less educated,
 and religiously conservative Emiratis.",2019
7,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2020-0001,"Plaschke, Jakob", LGBT+-Activism in Tunisia: Brokering Progressive Politics Independently,"Based on two fieldwork trips and extensive interviewing, this capstone looks broadly
 at how LGBT+-activist organizations function in the political context that is contemporary
 Tunisia. The capstone consists of four main chapters, each contributing separately
 to the existing literature on the topic, but also coming together as a whole. The
 first chapter is a historical account of LGBT+-activism in Tunisia, identifying important
 periods and ruptures. The second chapter is a contemporary mapping of the Tunisian
 LGBT+-activist community, focused on organizations' differences, interplay and conflicts.
 The third chapter argues that Tunisian LGBT+-activists are doing a good job at navigating
 complex political structures to their benefit and also details the concrete work being
 carried out. The final chapter argues that if Tunisian LGBT+-activists continue to
 self-evaluate and improve their ability to assert influence, they have a unique chance
 to become brokers of broad political alliances over progressive social policies. This
 is in part due to the fact that LGBT+-rights are not a politically polarizing issue
 and in part because the organizations are not tainted by affiliations with the Ben
 Ali dictatorship.",2020
8,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2020-0002,"Young Kim, Ji"," Never كافي: Understanding Emirati Youth Subculture development in Abu Dhabi Specialty
                                 Cafes","With the increased number of specialty cafes in Abu Dhabi, Emirati youth have appropriated
 cafes as a space of sociability. Through field interviews and ethnographic research,
 this paper investigates how the influx of specialty cafes has developed the practice
 of sociability between young Emiratis, and how these spaces of sociability affect
 their modes of identification. I argue that Abu Dhabi youth transform specialty cafes
 into a young people's place that is socially acceptable, while encouraging them to
 expand their social circle beyond their family. By doing so, they not only create
 a subculture inside this social space but also reconstruct social norms to fit the
 category of the youth. I discuss the themes of anonymity, privacy, gender hierarchy
 and the performance of identity. Just like the title indicates, there is ""never enough""
 layers and information on how cafes can be understood in Abu Dhabi.",2020
9,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2020-0003,"Ammagui, Nada", Aesthetic Assertion: Taste-Making at the Sharjah Biennial,"Art has long served as a platform for cultural exploration, representation, and exchange,
 particularly in the space of international art fairs and biennials (Althuser 2008;
 Kirshenblatt-Gimblatt 2007). From souqs and Kalba Nature Reserve to canopied saris
 and dancing chess pieces, the Sharjah Biennial, the first art biennial in the Arabian
 Peninsula, takes visitors on a physical trip through Sharjah and an ideological journey
 through global contemporary artistic forms and themes. How does the Sharjah Biennial's
 juxtaposition of local traditions and internationally relevant concerns shape local
 aesthetic tastes? How do spatial and aesthetic discourses affect these tastes? This
 capstone paper investigates the effect of these discourses, grounded in local historical
 narratives, on the creation of aesthetic preferences. With this research, I challenge
 the hegemonic rhetoric on modernization and identity retro-formation in Gulf art scenes
 by arguing that the Sharjah Biennial draws on local histories to shape its future.
 I fill a gap in contemporary art and biennial literature by offering the first academic
 paper on the Sharjah Biennial and by shedding light on the roles of art events in
 the shaping of local aesthetics, contributing to a wider understanding of contemporary
 Gulf cultures.",2020
